epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,25401.5,1.03239,0.75281,0.00765,0.89244,0.80638,0.8876,0.64226,0.96933,0.64203,0.00891,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,26194.3,1.02705,0.75068,0.0076,0.89032,0.81079,0.88864,0.64447,0.96825,0.63578,0.0089,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,26981.9,1.01218,0.73339,0.00746,0.88721,0.80945,0.88971,0.64693,0.96366,0.63779,0.00883,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,27775.3,1.00395,0.72827,0.00739,0.89143,0.81005,0.89082,0.64851,0.96235,0.63641,0.00883,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,28570.4,0.98857,0.71699,0.00734,0.88755,0.81002,0.88996,0.64651,0.96088,0.63785,0.00881,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,29366.2,0.98595,0.69852,0.00715,0.88663,0.81129,0.89056,0.64804,0.95985,0.63682,0.00881,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,30161.2,0.97634,0.68636,0.00706,0.89312,0.80971,0.89101,0.64975,0.95862,0.63728,0.00879,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,30951.4,0.96136,0.6702,0.00696,0.89366,0.81041,0.89086,0.65129,0.95772,0.63662,0.00877,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,31743,0.96359,0.66601,0.00695,0.89206,0.80982,0.89116,0.65106,0.95656,0.63526,0.00876,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,32536.6,0.87492,0.45371,0.00681,0.88784,0.81514,0.89143,0.65223,0.95544,0.63389,0.00875,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,33324.3,0.85897,0.43748,0.00663,0.87853,0.82089,0.89149,0.65221,0.9539,0.6358,0.00873,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,34112.4,0.84565,0.42842,0.00645,0.87735,0.82401,0.89202,0.654,0.95118,0.63782,0.00871,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,34901.4,0.83844,0.42157,0.00632,0.87576,0.82439,0.89166,0.65467,0.95005,0.63924,0.0087,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,35691,0.83358,0.4073,0.0062,0.88354,0.82365,0.89246,0.65622,0.94772,0.63905,0.00867,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,36480.5,0.80964,0.3988,0.00599,0.89123,0.81324,0.89216,0.65622,0.94727,0.63884,0.00867,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,37268.6,0.8012,0.38668,0.00586,0.89396,0.81471,0.89264,0.65734,0.94676,0.63819,0.00868,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,38052.2,0.7868,0.37601,0.00582,0.89148,0.81859,0.89254,0.65787,0.94655,0.63843,0.00867,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,38832.1,0.78111,0.36867,0.0057,0.88253,0.82464,0.8928,0.65889,0.94596,0.63818,0.00867,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,39612.4,0.7697,0.36365,0.00568,0.87788,0.82698,0.8929,0.6589,0.94485,0.63873,0.00866,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
